"","Date","Latitude","Longitude","water_temp"
"137",2019-05-29,38.77654,-77.04784,27.5
"138",2019-05-29,38.90431,-77.07193,26
"139",2019-06-05,38.9832,-77.0407,18
"140",2019-06-05,38.90008,-77.05842,22
"141",2019-06-05,38.9466,-77.05575,17
"142",2019-06-05,38.90431,-77.07193,22
"143",2019-06-05,38.9098,-76.9618,18
"144",2019-06-05,38.8939,-76.9655,22
"145",2019-06-05,38.86535,-77.0102,25
"146",2019-06-05,38.9116,-76.9546,23
"147",2019-06-05,38.97634,-77.0522,16
"148",2019-06-05,38.87278,-77.0006,24
"149",2019-06-05,38.8799,-76.9709,23.5
"150",2019-06-05,38.95748,-77.06218,17.5
"151",2019-06-05,38.93337,-77.05024,18.5
"152",2019-06-05,38.87637,-77.04671,23
"153",2019-06-05,38.92586,-77.0951,15.5
"154",2019-06-05,38.93831,-77.05258,17
"155",2019-06-05,38.77654,-77.04784,23
"156",2019-06-05,38.8774,-77.0246,24
"157",2019-06-05,38.9187,-77.1031,22.5
"158",2019-06-05,38.88495,-77.0355,24
"159",2019-06-05,38.92176,-77.06027,16
"160",2019-06-05,38.91583,-77.08306,16.5
"161",2019-06-05,38.9089,-77.0507,19
"162",2019-06-12,38.9832,-77.0407,19
"163",2019-06-12,38.90431,-77.07193,20.5
"164",2019-06-12,38.9466,-77.05575,17
"165",2019-06-12,38.90008,-77.05842,21
"166",2019-06-12,38.86535,-77.0102,23
"167",2019-06-12,38.9098,-76.9618,18
"168",2019-06-12,38.97634,-77.0522,16
"169",2019-06-12,38.8939,-76.9655,22
"170",2019-06-12,38.9116,-76.9546,22
"171",2019-06-12,38.92586,-77.0951,15
"172",2019-06-12,38.9187,-77.1031,20
"173",2019-06-12,38.87278,-77.0006,23
"174",2019-06-12,38.8799,-76.9709,20
"175",2019-06-12,38.77654,-77.04784,21.5
"176",2019-06-12,38.77654,-77.04784,21.5
"177",2019-06-12,38.93337,-77.05024,40
"178",2019-06-12,38.95748,-77.06218,19
"179",2019-06-12,38.91583,-77.08306,16
"180",2019-06-12,38.92176,-77.06027,16
"181",2019-06-12,38.93831,-77.05258,16.5
"182",2019-06-12,38.87637,-77.04671,22
"183",2019-06-12,38.9089,-77.0507,18
"184",2019-06-12,38.88495,-77.0355,22
"185",2019-06-12,38.8774,-77.0246,23
"186",2019-06-20,38.8774,-77.0246,25
